# BEGIN DATA
#Process=pp -> vv~jj / evjj
#Sqrt=13 TeV
#Timestamp=2020-08-17 10:27:32
# END DATA
#
# BEGIN HISTO1D R_mjj_nominal
# xlow   xhigh   val
 500.0  550.0 0.2345230
 550.0  600.0 0.2375066
 600.0  650.0 0.2394790
 650.0  700.0 0.2394142
 700.0  750.0 0.2392820
 750.0  800.0 0.2407112
 800.0  850.0 0.2385584
 850.0  900.0 0.2388834
 900.0  950.0 0.2385602
 950.0 1000.0 0.2369388
1000.0 1100.0 0.2364586
1100.0 1200.0 0.2377236
1200.0 1300.0 0.2376767
1300.0 1400.0 0.2371676
1400.0 1500.0 0.2372528
1500.0 1600.0 0.2378010
1600.0 1700.0 0.2374380
1700.0 1800.0 0.2372361
1800.0 1900.0 0.2389442
1900.0 2000.0 0.2332650
2000.0 2500.0 0.2346438
2500.0 3000.0 0.2280682
3000.0 3500.0 0.2237246
3500.0 4000.0 0.2269902
4000.0 6000.0 0.2261812

# BEGIN HISTO1D dR_mjj_QCD
# xlow   xhigh   val
 500.0  550.0 0.01043920
 550.0  600.0 0.00990080
 600.0  650.0 0.01169960
 650.0  700.0 0.00212420
 700.0  750.0 0.00288820
 750.0  800.0 0.00131360
 800.0  850.0 0.00253800
 850.0  900.0 0.00670300
 900.0  950.0 0.00474500
 950.0 1000.0 0.00687260
1000.0 1100.0 0.00256700
1100.0 1200.0 0.00223950
1200.0 1300.0 0.00268080
1300.0 1400.0 0.00400140
1400.0 1500.0 0.00919880
1500.0 1600.0 0.00260360
1600.0 1700.0 0.01862220
1700.0 1800.0 0.00241310
1800.0 1900.0 0.00282300
1900.0 2000.0 0.01208170
2000.0 2500.0 0.01204200
2500.0 3000.0 0.01204260
3000.0 3500.0 0.01466760
3500.0 4000.0 0.01975780
4000.0 6000.0 0.01787855

# BEGIN HISTO1D dR_mjj_PS
# xlow   xhigh   val
 500.0  550.0 0.04849146
 550.0  600.0 0.01333020
 600.0  650.0 0.01847880
 650.0  700.0 0.01098700
 700.0  750.0 0.01743660
 750.0  800.0 0.01342940
 800.0  850.0 0.01529300
 850.0  900.0 0.01268840
 900.0  950.0 0.00540880
 950.0 1000.0 0.00725480
1000.0 1100.0 0.00787340
1100.0 1200.0 0.00680350
1200.0 1300.0 0.00561430
1300.0 1400.0 0.00966270
1400.0 1500.0 0.00803130
1500.0 1600.0 0.00920220
1600.0 1700.0 0.00728130
1700.0 1800.0 0.01177900
1800.0 1900.0 0.01157320
1900.0 2000.0 0.01287170
2000.0 2500.0 0.01493520
2500.0 3000.0 0.01668740
3000.0 3500.0 0.01768280
3500.0 4000.0 0.01731240
4000.0 6000.0 0.01882950
