#xlow	 xhigh	 sumw	 sumw2	 sumwx	 sumwx2	 numEntries
0.000000e+00	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+02	5.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+02	5.500000e+02	3.487561e-01	2.846332e-06	1.830970e+02	9.612589e+04	2.091040e+05
5.500000e+02	6.000000e+02	3.276809e-01	2.039998e-06	1.884165e+02	1.083395e+05	2.172070e+05
6.000000e+02	6.500000e+02	3.032154e-01	1.774266e-06	1.895097e+02	1.184435e+05	2.180490e+05
6.500000e+02	7.000000e+02	2.733203e-01	1.502660e-06	1.844912e+02	1.245316e+05	2.179630e+05
7.000000e+02	7.500000e+02	2.467266e-01	1.365882e-06	1.788768e+02	1.296856e+05	2.193640e+05
7.500000e+02	8.000000e+02	2.217063e-01	1.075490e-06	1.718224e+02	1.331624e+05	2.277600e+05
8.000000e+02	8.500000e+02	1.971998e-01	9.495337e-07	1.626899e+02	1.342191e+05	2.421590e+05
8.500000e+02	9.000000e+02	1.763882e-01	7.599523e-07	1.543396e+02	1.350472e+05	2.697110e+05
9.000000e+02	9.500000e+02	1.588305e-01	6.023892e-07	1.469183e+02	1.358994e+05	3.212070e+05
9.500000e+02	1.000000e+03	1.404688e-01	4.207354e-07	1.369571e+02	1.335331e+05	4.055450e+05
1.000000e+03	1.100000e+03	2.395767e-01	6.618537e-07	2.515556e+02	2.641334e+05	8.534570e+05
1.100000e+03	1.200000e+03	1.896993e-01	4.562995e-07	2.181541e+02	2.508773e+05	7.313360e+05
1.200000e+03	1.300000e+03	1.532656e-01	3.886601e-07	1.915820e+02	2.394775e+05	6.080110e+05
1.300000e+03	1.400000e+03	1.245093e-01	2.846657e-07	1.680875e+02	2.269181e+05	5.066700e+05
1.400000e+03	1.500000e+03	1.010930e-01	2.265576e-07	1.465849e+02	2.125481e+05	4.219580e+05
1.500000e+03	1.600000e+03	8.188073e-02	1.852299e-07	1.269151e+02	1.967184e+05	3.515760e+05
1.600000e+03	1.700000e+03	6.698304e-02	1.473175e-07	1.105220e+02	1.823614e+05	2.952950e+05
1.700000e+03	1.800000e+03	5.487576e-02	1.692891e-07	9.603257e+01	1.680570e+05	2.473090e+05
1.800000e+03	1.900000e+03	4.540846e-02	8.722647e-08	8.400567e+01	1.554105e+05	2.085130e+05
1.900000e+03	2.000000e+03	3.766333e-02	8.323427e-08	7.344349e+01	1.432148e+05	1.746640e+05
2.000000e+03	2.500000e+03	1.121848e-01	2.061983e-07	2.524159e+02	5.679356e+05	5.417400e+05
2.500000e+03	3.000000e+03	4.736387e-02	1.043504e-07	1.302507e+02	3.581893e+05	2.358040e+05
3.000000e+03	3.500000e+03	2.090798e-02	4.039362e-08	6.795093e+01	2.208405e+05	1.046070e+05
3.500000e+03	4.000000e+03	9.896544e-03	2.109438e-08	3.711205e+01	1.391702e+05	4.709800e+04
4.000000e+03	6.000000e+03	9.308630e-03	2.626727e-08	4.654315e+01	2.327157e+05	3.917600e+04
6.000000e+03	8.000000e+03	7.976032e-04	2.424173e-09	5.583222e+00	3.908255e+04	2.371000e+03
8.000000e+03	1.000000e+04	7.384628e-05	2.112854e-10	6.646166e-01	5.981549e+03	1.770000e+02
1.000000e+04	1.300000e+04	2.603402e-05	5.759684e-10	2.993913e-01	3.443000e+03	9.000000e+00
